Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,,33.419999999999995,33.97166666666667,36.071666666666665,35.90666666666667,37.38666666666667,50.47,49.61333333333332,48.71,47.90166666666667,45.69666666666666,50.46666666666667,49.30666666666667,50.08833333333333,50.30833333333334,53.27333333333333,51.22,49.25333333333334,49.295,51.650000000000006,52.153333333333336,53.803333333333335,53.875,50.715,51.583333333333336,55.04333333333333,56.86166666666666,56.61500000000001,55.20166666666666,56.66333333333333,55.775,56.99,58.405,60.65166666666666,61.745,62.44166666666667,62.675,61.578333333333326,64.90333333333334,70.825,74.84285714285714,77.03714285714285,80.38714285714286,77.0342857142857,77.50428571428571,79.89999999999999,79.99428571428571,86.50714285714285,84.51285714285713,91.2585714285714,94.6742857142857,90.33571428571427,93.06285714285714,96.84857142857145,100.48,101.10714285714285,98.40857142857143,103.51714285714289,107.17285714285715,108.66142857142856,112.39428571428572,110.41571428571427,
Afghanistan,AFG,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,,41.48,41.81,41.62,45.13,47.25,48.99,53.67,56.05,56.76,51.96,48.72,51.98,55.88,57.56,59.2,63.89,57.35,61.67,60.93,61.28,61.13,60.56,58.99,56.58,52.78,48.32,50.05,49.47,49.24,53.02,60.86,58.98,62.26,65.83,68.75,72.36,77.46,81.7,80.77,68.7,62.42,75.75,77.83,75.77,84.68,78.42,85.87,80.73,93.57,93.0,88.65,97.21,94.29,101.67,95.99,102.34,100.02,96.07,112.55,118.09,113.74,
Angola,AGO,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,,14.65,15.18,15.52,16.24,16.77,17.02,17.49,17.53,18.49,19.39,19.49,19.01,19.94,19.32,19.14,18.88,18.43,18.49,17.95,18.19,17.82,18.1,18.4,18.66,18.98,19.68,19.92,19.83,19.83,19.92,20.82,22.27,22.1,24.88,24.04,25.84,25.77,29.94,28.77,33.6,38.65,43.79,47.23,50.99,55.6,56.56,64.15,68.29,85.36,90.3,98.63,81.13,110.73,97.41,100.32,102.27,103.19,105.59,107.53,112.6,114.59,
Albania,ALB,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,,21.34,21.93,20.71,23.37,22.23,25.47,27.29,28.01,28.34,29.09,30.17,30.68,32.86,33.82,34.42,38.09,39.79,41.53,42.27,41.43,43.08,44.46,48.43,44.95,44.32,44.04,45.57,44.31,49.4,48.66,41.33,45.58,51.51,57.26,61.57,62.07,58.79,61.35,60.74,63.99,65.87,66.36,69.55,72.86,71.62,74.39,75.42,77.71,80.49,85.62,89.88,95.03,95.62,96.82,100.07,103.11,103.9,106.08,104.11,105.77,103.44,
United Arab Emirates,ARE,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,,4.59,4.66,4.81,5.0,5.11,5.26,5.4,5.63,5.96,6.38,6.71,6.53,7.37,8.44,8.28,7.61,9.08,11.8,13.42,15.82,17.41,21.98,25.1,23.72,24.57,25.65,25.54,31.66,35.59,37.11,44.6,55.48,58.86,63.03,71.71,77.98,93.88,95.72,144.81,185.23,122.1,119.93,111.31,119.83,121.7,111.88,111.48,120.88,119.04,129.7,75.57,77.32,78.77,94.36,98.36,107.28,107.31,111.43,114.48,118.28,124.71,
Argentina,ARG,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,,31.41,33.2,36.2,33.65,31.93,35.54,38.95,36.94,39.81,38.87,36.31,36.18,37.68,39.84,40.73,45.04,44.76,48.08,48.5,44.56,48.17,49.06,47.74,49.06,50.05,51.39,48.61,49.57,46.09,51.18,52.71,52.94,52.99,55.69,59.02,57.16,62.0,66.78,68.47,69.09,69.3,68.92,71.55,73.11,83.13,82.09,89.91,91.19,76.14,88.16,92.8,86.48,94.0,95.09,103.96,100.95,106.03,97.49,112.59,109.35,108.23,
Australia,AUS,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,,32.35,36.73,38.46,40.83,39.35,43.19,39.2,45.26,43.0,45.31,47.76,48.91,52.24,47.35,51.62,55.24,54.62,62.83,60.22,52.94,56.55,51.7,61.69,58.44,57.53,59.49,58.81,61.37,60.41,63.13,63.4,63.04,67.19,70.42,64.4,71.97,78.74,79.1,84.2,87.03,87.19,88.75,73.45,89.97,87.28,90.96,76.45,80.9,86.76,86.41,90.37,95.53,96.86,100.8,101.22,97.98,108.12,97.5,91.53,89.56,106.7,
Austria,AUT,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,,79.14,78.0,83.01,85.43,74.22,81.32,86.89,91.3,89.14,88.41,86.92,84.36,87.52,89.14,89.72,91.62,88.88,93.43,93.78,98.3,94.06,105.29,99.14,102.44,98.56,99.64,98.27,102.97,98.28,99.88,97.92,94.84,94.28,94.29,91.09,91.14,93.31,95.07,97.58,95.64,97.55,96.95,94.3,99.59,95.6,95.26,97.92,103.56,101.87,95.34,102.99,95.95,96.24,102.03,97.37,100.6,98.48,100.51,99.96,101.84,99.8,
Belgium,BEL,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,,23.12333333333333,24.42833333333333,25.24833333333333,25.50166666666667,28.56,29.981666666666666,30.696666666666665,32.055,32.1,31.22333333333333,32.0,34.031666666666666,34.84,34.43333333333333,37.24666666666667,39.68333333333333,38.586666666666666,41.76833333333334,42.391666666666666,43.60333333333333,45.44833333333333,46.45166666666668,45.75,46.72833333333333,48.54666666666666,49.47666666666667,49.8,48.49,52.053333333333335,53.68,52.97833333333333,54.71833333333333,56.35833333333333,60.78666666666667,64.07833333333333,67.335,71.21,71.19666666666667,73.775,98.36,94.75,97.84,95.38,98.88,93.39,91.23,93.48,90.21,92.73,95.84,96.72,91.37,95.83,101.81,101.33,96.87,102.59,98.38,100.97,101.49,102.49,
Bangladesh,BGD,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,,25.4,24.31,27.54,27.73,27.92,26.82,30.32,31.06,32.34,30.86,28.75,28.3,31.2,30.32,33.39,32.02,34.1,35.3,35.08,35.63,35.39,36.68,37.58,37.91,39.29,39.67,39.74,40.38,44.19,44.64,45.96,46.57,46.53,44.9,46.89,49.45,50.08,51.98,58.82,62.64,61.36,63.17,64.86,63.83,71.77,74.12,78.4,84.55,85.07,90.16,93.31,94.1,96.33,98.72,100.48,100.8,107.85,107.75,108.34,111.48,116.39,
